Ticker,Name,Market,Panel,Sector,Sub-Sector,Comment,Name(EN),Company Code(12),Ticker(4),Ticker(5),Ticker(12),Sector Code,Sub-Sector Code,Panel Code
سدور,سیمان  دورود,بورس,بازار دوم بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Doroud Cement,IRO1SDOR0008,SDOR,SDOR1,IRO1SDOR0001,53,5394,3
سرود,سیمان شاهرود,بورس,بازار اول (تابلوی اصلی) بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Shahroud Cement,IRO1SROD0008,SROD,SROD1,IRO1SROD0001,53,5394,1
سشرق,سیمان  شرق,بورس,بازار اول (تابلوی اصلی) بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Shargh Cement,IRO1SSHR0000,SSHR,SSHR1,IRO1SSHR0001,53,5394,1
سشمال,سیمان  شمال,بورس,بازار اول (تابلوی اصلی) بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Shomal Cement,IRO1SIMS0004,SIMS,SIMS1,IRO1SIMS0001,53,5394,1
سصفها,سیمان اصفهان,بورس,بازار اول (تابلوی فرعی) بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Isfahan Cement,IRO1SEFH0000,SEFH,SEFH1,IRO1SEFH0001,53,5394,3
سصوفی,سیمان  صوفیان,بورس,بازار اول (تابلوی اصلی) بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Soufian Cement,IRO1SSOF0005,SSOF,SSOF1,IRO1SSOF0001,53,5394,1
سغرب,سیمان غرب,بورس,بازار اول (تابلوی اصلی) بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Gharb Cement.,IRO1SGRB0000,SGRB,SGRB1,IRO1SGRB0001,53,5394,1
سفار,سیمان فارس,بورس,بازار دوم بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Fars Cement,IRO1SFRS0002,SFRS,SFRS1,IRO1SFRS0001,53,5394,1
سفارس,سیمان فارس وخوزستان,بورس,بازار اول (تابلوی اصلی) بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,S*F. & Kh. Cement,IRO1SFKZ0000,SFKZ,SFKZ1,IRO1SFKZ0001,53,5394,1
سفانو,سیمان فارس نو,بورس,بازار اول (تابلوی فرعی) بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Siman Fars Noe,IRO1SFNO0000,SFNO,SFNO1,IRO1SFNO0001,53,5394,3
سقاین,سیمان  قائن,بورس,بازار دوم بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Qayen Cement,IRO1SGEN0001,SGEN,SGEN1,IRO1SGEN0001,53,5394,1
سکرد,سیمان کردستان,بورس,بازار دوم بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Kordesta Ce. Co.,IRO1SKOR0009,SKOR,SKOR1,IRO1SKOR0001,53,5394,1
سکرما,سیمان  کرمان,بورس,بازار اول (تابلوی فرعی) بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Kerman Cement,IRO1SKER0001,SKER,SKER1,IRO1SKER0001,53,5394,3
سمازن,سیمان مازندران,بورس,بازار اول (تابلوی اصلی) بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Mazandaran Cem.,IRO1SMAZ0003,SMAZ,SMAZ1,IRO1SMAZ0001,53,5394,1
سنیر,سیمان  سفیدنی ریز,بورس,بازار اول (تابلوی فرعی) بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Neiriz Cement,IRO1SSNR0002,SSNR,SSNR1,IRO1SSNR0001,53,5394,3
سهرمز,سیمان هرمزگان,بورس,بازار اول (تابلوی اصلی) بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Hormozgan Cem.,IRO1SHZG0004,SHZG,SHZG1,IRO1SHZG0001,53,5394,1
سهگمت,سیمان هگمتان,بورس,بازار اول (تابلوی اصلی) بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Hegmatan Cement,IRO1SHGN0008,SHGN,SHGN1,IRO1SHGN0001,53,5394,1
سیتا,سرمایه گذاری سیمان تامین,بورس,بازار دوم بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Tamin Cement,IRO1SITA0007,SITA,SITA1,IRO1SITA0001,53,5394,1
سیدکو,سرمایه گذاری توسعه صنایع سیمان,بورس,بازار دوم بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Cement INV. Co.,IRO1CIDC0001,CIDC,CIDC1,IRO1CIDC0001,53,5394,1
سیستم,همکاران سیستم,بورس,بازار اول (تابلوی اصلی) بورس,رایانه و فعالیت های وابسته به آن,مشاوره و تهیه نرم افزار,-,Hamkaran System Co,IRO1SYSM0004,SYSM,SYSM1,IRO1SYSM0001,72,7220,1
سیسکو,فولاد سیرجان ایرانیان,بورس,بازار دوم بورس,فلزات اساسی,تولید آهن و فولاد پایه,-,Sirjan Iranian Stl,IRO1SSCO0008,SSCO,SSCO1,IRO1SSCO0001,27,2710,1
سیلام,سیمان  ایلام,بورس,بازار دوم بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Ilam Cement,IRO1SEIL0001,SEIL,SEIL1,IRO1SEIL0001,53,5394,1
سیمرغ,سیمرغ,بورس,بازار اول (تابلوی اصلی) بورس,زراعت و خدمات وابسته,پرورش حیوانات,-,Seamorgh Co.,IRO1SMRG0007,SMRG,SMRG1,IRO1SMRG0001,01,122,1
شاراک,پتروشیمی شازند,بورس,بازار دوم بورس,محصولات شیمیایی,تولید مواد شیمیایی پایه به جز کود,-,Shazand Petr.,IRO1PARK0008,PARK,PARK1,IRO1PARK0001,44,4411,1
شاملا,معدنی  املاح  ایران,بورس,بازار اول (تابلوی اصلی) بورس,محصولات شیمیایی,تولید مواد شیمیایی پایه به جز کود,-,Iran Amlah,IRO1AMLH0002,AMLH,AMLH1,IRO1AMLH0001,44,4411,1
شبریز,پالایش نفت تبریز,بورس,بازار اول (تابلوی اصلی) بورس,فراورده های نفتی، کک و سوخت هسته ای,تولید محصولات پالایش شده پتروشیمی,-,Tabriz.Oil.Refine,IRO1PNTB0002,PNTB,PNTB1,IRO1PNTB0001,23,2320,1
شبندر,پالایش نفت بندرعباس,بورس,بازار اول (تابلوی اصلی) بورس,فراورده های نفتی، کک و سوخت هسته ای,ساخت فرآورده های نفتی تصفیه شده,-,B.A Oil Refinie,IRO1PNBA0003,PNBA,PNBA1,IRO1PNBA0001,23,2308,1
شبهرن,نفت  بهران,بورس,بازار اول (تابلوی اصلی) بورس,فراورده های نفتی، کک و سوخت هسته ای,تولید محصولات پالایش شده پتروشیمی,-,Behran Oil,IRO1NBEH0009,NBEH,NBEH1,IRO1NBEH0001,23,2320,1
